ds,cpu,memory,machines_reporting
2018-01-02 20:25:00,,,0
2018-01-02 20:30:00,,,0
2018-01-02 20:35:00,31.303571428571427,90.26785714285714,14
2018-01-02 20:40:00,36.792857142857144,91.24126984126984,21
2018-01-02 20:45:00,44.0436507936508,91.54126984126985,21
2018-01-02 20:50:00,45.788333333333334,90.25583333333333,20
2018-01-02 20:55:00,34.23968253968254,87.17460317460319,21
2018-01-02 21:00:00,46.62095238095238,89.2875,20
2018-01-02 21:05:00,44.7952380952381,89.63531746031747,21
2018-01-02 21:10:00,42.959999999999994,89.59416666666667,20
2018-01-02 21:15:00,51.590119047619055,92.17392857142855,20
2018-01-02 21:20:00,41.64285714285714,89.61190476190477,21
2018-01-02 21:25:00,35.28750000000001,88.18055555555557,20
2018-01-02 21:30:00,32.44649122807018,88.54736842105264,19
2018-01-02 21:35:00,32.42916666666667,87.90166666666666,20
2018-01-02 21:40:00,31.30526315789474,87.08947368421052,19
2018-01-02 21:45:00,28.234523809523807,87.8638888888889,21
2018-01-02 21:50:00,27.365873015873017,88.22936507936508,21
2018-01-02 21:55:00,27.688333333333333,87.29166666666667,20
2018-01-02 22:00:00,35.640476190476186,88.66184210526316,19
2018-01-02 22:05:00,29.884656084656086,88.38492063492065,21
2018-01-02 22:10:00,28.139583333333338,88.00458333333333,20
2018-01-02 22:15:00,32.730574452003026,88.74727891156463,21
2018-01-02 22:20:00,30.675833333333333,89.07500000000002,20
2018-01-02 22:25:00,28.275,89.35357142857143,20
2018-01-02 22:30:00,30.620416666666664,90.51652777777778,20
2018-01-02 22:35:00,32.45666666666666,90.81666666666665,20
2018-01-02 22:40:00,35.38571428571428,91.69642857142857,21
2018-01-02 22:45:00,31.854365079365078,90.52182539682539,21
2018-01-02 22:50:00,29.452380952380953,90.82063492063492,21
2018-01-02 22:55:00,28.370000000000005,89.14333333333333,20
2018-01-02 23:00:00,32.1775,89.7572619047619,20
2018-01-02 23:05:00,37.03916666666667,91.835,20
2018-01-02 23:10:00,27.669047619047618,89.83888888888889,21
2018-01-02 23:15:00,31.932499999999997,90.55625,20
2018-01-02 23:20:00,29.853508771929825,89.69035087719298,19
2018-01-02 23:25:00,29.38809523809524,90.25595238095238,20
2018-01-02 23:30:00,28.863492063492064,90.75555555555556,21
2018-01-02 23:35:00,24.31058201058201,89.86402116402115,21
2018-01-02 23:40:00,27.12982456140351,90.12719298245615,19
2018-01-02 23:45:00,30.185000000000002,90.55666666666667,20
2018-01-02 23:50:00,26.177551020408167,90.2563492063492,21
2018-01-02 23:55:00,23.825,91.04083333333332,20
2018-01-03 00:00:00,32.17794486215539,92.50739348370928,19
2018-01-03 00:05:00,40.59122807017543,92.79122807017545,19
2018-01-03 00:10:00,42.32539682539683,91.28333333333333,21
2018-01-03 00:15:00,38.55691609977324,90.10963718820861,21
2018-01-03 00:20:00,42.175056689342405,91.63185941043083,21
2018-01-03 00:25:00,41.92619047619048,90.8547619047619,21
2018-01-03 00:30:00,39.43571428571428,90.37936507936507,21
2018-01-03 00:35:00,37.43125,85.55083333333333,20
2018-01-03 00:40:00,35.85291666666667,86.40583333333333,20
2018-01-03 00:45:00,33.44185463659148,86.60419799498747,19
2018-01-03 00:50:00,29.36080876795163,84.95680272108842,21
2018-01-03 00:55:00,27.55309523809524,84.99821428571428,20
2018-01-03 01:00:00,35.65839002267574,90.02290249433106,21
2018-01-03 01:05:00,32.85,89.92936507936508,21
2018-01-03 01:10:00,31.483333333333338,87.56842105263158,19
2018-01-03 01:15:00,39.14035087719298,88.88433583959899,19
2018-01-03 01:20:00,49.2625,91.41333333333333,20
2018-01-03 01:25:00,39.01833333333333,88.58333333333333,20
2018-01-03 01:30:00,39.05396825396825,90.08888888888889,21
2018-01-03 01:35:00,39.29761904761905,90.40238095238094,21
2018-01-03 01:40:00,37.89814814814815,91.08333333333333,18
2018-01-03 01:45:00,33.78508771929825,89.56754385964912,19
2018-01-03 01:50:00,33.90277777777778,86.92420634920634,21
2018-01-03 01:55:00,32.25083333333333,86.82416666666666,20
2018-01-03 02:00:00,39.483333333333334,88.7877192982456,19
2018-01-03 02:05:00,42.86984126984127,91.35079365079366,21
2018-01-03 02:10:00,44.4484126984127,92.29285714285714,21
2018-01-03 02:15:00,34.22369614512471,86.63730158730158,21
2018-01-03 02:20:00,34.0595238095238,86.0111111111111,21
2018-01-03 02:25:00,38.43684210526316,86.76271929824561,19
2018-01-03 02:30:00,38.38666666666667,87.34,20
2018-01-03 02:35:00,36.464166666666664,88.46083333333334,20
2018-01-03 02:40:00,38.560544217687074,87.69274376417235,21
2018-01-03 02:45:00,32.89863945578231,87.48333333333332,21
2018-01-03 02:50:00,34.569047619047616,86.60634920634922,21
2018-01-03 02:55:00,34.0370238095238,87.57428571428571,20
2018-01-03 03:00:00,38.902631578947364,90.67456140350878,19
2018-01-03 03:05:00,38.12414965986395,90.98208616780046,21
2018-01-03 03:10:00,37.52052154195011,88.28321995464852,21
2018-01-03 03:15:00,35.18297619047619,88.02535714285715,20
2018-01-03 03:20:00,28.076190476190483,87.18095238095239,21
2018-01-03 03:25:00,32.44833333333334,87.31666666666666,20
2018-01-03 03:30:00,30.72460317460317,88.77777777777779,21
2018-01-03 03:35:00,35.196666666666665,89.07083333333333,20
2018-01-03 03:40:00,34.75277777777778,88.58253968253969,21
2018-01-03 03:45:00,29.697142857142858,87.2297619047619,20
2018-01-03 03:50:00,33.67547619047619,88.69107142857143,20
2018-01-03 03:55:00,37.0025,90.90583333333333,20
2018-01-03 04:00:00,32.995,90.39583333333333,20
2018-01-03 04:05:00,35.71927437641724,89.33095238095237,21
2018-01-03 04:10:00,41.3311403508772,92.41503759398495,19
2018-01-03 04:15:00,41.70198412698413,92.07936507936508,21
2018-01-03 04:20:00,43.015873015873005,91.03571428571429,21
2018-01-03 04:25:00,40.32833333333333,91.42583333333334,20
2018-01-03 04:30:00,38.0452947845805,89.24733560090702,21
2018-01-03 04:35:00,40.67869674185463,89.07781954887218,19
2018-01-03 04:40:00,41.898979591836735,91.12301587301587,21
2018-01-03 04:45:00,41.768367346938774,91.87857142857142,21
2018-01-03 04:50:00,36.10646258503401,90.09954648526076,21
2018-01-03 04:55:00,31.937037037037037,87.36296296296297,18
2018-01-03 05:00:00,46.63916666666667,90.2475,20
2018-01-03 05:05:00,45.73583333333333,88.1825,20
2018-01-03 05:10:00,42.925,87.36166666666665,20
2018-01-03 05:15:00,36.60555555555555,86.6234126984127,21
2018-01-03 05:20:00,35.7920634920635,86.87380952380951,21
2018-01-03 05:25:00,37.44047619047618,89.1484126984127,21
2018-01-03 05:30:00,38.66315789473684,89.72894736842103,19
2018-01-03 05:35:00,45.47833333333333,90.91916666666665,20
2018-01-03 05:40:00,42.52857142857143,89.98412698412699,21
2018-01-03 05:45:00,46.5359649122807,89.69398496240602,19
2018-01-03 05:50:00,48.432500000000005,90.55583333333333,20
2018-01-03 05:55:00,52.64369047619048,91.53750000000001,20
2018-01-03 06:00:00,53.86458333333333,91.84166666666667,20
2018-01-03 06:05:00,61.52166666666666,92.75083333333335,20
2018-01-03 06:10:00,57.59285714285714,92.27777777777777,21
2018-01-03 06:15:00,51.712433862433855,89.06362433862432,21
2018-01-03 06:20:00,57.349433106575965,91.26088435374149,21
2018-01-03 06:25:00,76.5845238095238,93.64464285714284,20
2018-01-03 06:30:00,79.10714285714285,92.66439909297053,21
2018-01-03 06:35:00,68.2968253968254,90.30873015873016,21
